CODIGO_SINIESTRO,FECHA_SINIESTRO,HORA_SINIESTRO,CLASE_SINIESTRO,CANTIDAD_FALLECIDOS,CANTIDAD_LESIONADOS,CANTIDAD_VEHICULOS,DEPARTAMENTO,PROVINCIA,DISTRITO,ZONA,TIPO_VIA,RED_VIAL,COD_CARRETERA,LATITUD,LONGITUD,CONDICION_CLIMATICA,ZONIFICACION,CARACTERISTICAS_VIA,PERFIL_VIA,SUPERFICIE_CALZADA,EXISTE_SENIAL_VERTICAL,CLASIFICACION_SENIAL_VERTICAL_1,CLASIFICACION_SENIAL_VERTICAL_2,EXISTE_SENIAL_HORIZONTAL,CAUSA_FACTOR_PRINCIPAL,CAUSA_ESPECIFICA,HORA,severidad,ANIO,MES,DIA_SEMANA,FIN_SEMANA,FRANJA_HORARIA,TEMPORADA,MACROREGION,TIPO_VIA_SCORE,PERFIL_VIA_SCORE,SUPERFICIE_CALZADA_SCORE,RIESGO_INFRAESTRUCTURA,RIESGO_CLIMATICO,SENIALIZACION_DEFICIENTE,EDAD_PROMEDIO,EDAD_STD,TOTAL_ALCOHOL,TOTAL_LICENCIA,TOTAL_PERSONAS,PCT_ALCOHOL,PCT_LICENCIA,ES_NOCHE
A-2021-09-108,2021-09-27,06:35,CHOQUE,3,3,2,AREQUIPA,AREQUIPA,LA JOYA,RURAL,CARRETERA,NACIONAL,PE-1S,-16.510706,-71.8120445,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,SI,REGULADORA (R),REGULADORA (R),NO,IMPRUDENCIA DEL CONDUCTOR,INVASIÓN DE CARRIL,6.0,2,2021.0,9.0,0.0,0,1,3,0,0.0,0.0,0.0,0.0,0,1,26.5,4.949747468305833,0,2,7,0.0,0.286,0
A-2021-09-161,2021-09-27,11:00,DESPISTE,1,1,1,ANCASH,POMABAMBA,PAROBAMBA,RURAL,CARRETERA,PROVINCIAL,AN-585,-8.69607135915343,-77.43129672288616,DESPEJADO,RURAL,CURVA,INCLINADA,AFIRMADO,,,,,NEGLIGENCIA DEL CONDUCTOR,OTRO (NEGLIGENCIA DEL CONDUCTOR),11.0,0,2021.0,9.0,0.0,0,1,3,0,0.0,1.0,1.0,2.0,0,0,48.0,1.4142135623730951,0,1,2,0.0,0.5,0
A-2021-09-216,2021-09-27,15:00,CHOQUE FUGA,1,3,1,LAMBAYEQUE,LAMBAYEQUE,OLMOS,RURAL,CARRETERA,NACIONAL,PE-1NJ,-5.9627901,-79.7535165,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,15.0,0,2021.0,9.0,0.0,0,2,3,0,0.0,0.0,0.0,0.0,0,0,28.75,9.535023160258536,0,0,5,0.0,0.0,0
A-2021-09-156,2021-09-27,18:00,ATROPELLO,1,0,0,LIMA,LIMA,LURIN,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.277608,-76.869489,NUBLADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,18.0,0,2021.0,9.0,0.0,0,3,3,0,1.0,0.0,0.0,1.0,0,0,16.0,22.627416997969522,0,0,2,0.0,0.0,1
A-2021-09-155,2021-09-27,20:30,ATROPELLO,1,0,0,LIMA,LIMA,BREÑA,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-12.068307746191367,-77.048367843082,DESPEJADO,COMERCIAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,20.0,0,2021.0,9.0,0.0,0,3,3,0,1.0,0.0,0.0,1.0,0,0,64.0,5.656854249492381,0,0,2,0.0,0.0,1
A-2021-09-236,2021-09-28,09:20,DESPISTE,3,3,1,AYACUCHO,LA MAR,CHUNGUI,RURAL,CARRETERA,DEPARTAMENTAL,AY-102,-13.221061,-73.629836,LLUVIOSO,RURAL,CURVA,INCLINADA,TROCHA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,9.0,2,2021.0,9.0,1.0,0,1,3,1,0.0,1.0,2.0,3.0,1,0,34.166666666666664,24.604200183437516,0,1,6,0.0,0.167,0
A-2021-09-177,2021-09-28,10:46,ATROPELLO,1,0,0,LORETO,MAYNAS,IQUITOS,URBANA,CALLE,URBANO,NO CORRESPONDE,-3.755339670284915,-73.27128319823574,SOLEADO,COMERCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,10.0,0,2021.0,9.0,1.0,0,1,3,2,2.0,0.0,0.0,2.0,0,0,41.0,1.4142135623730951,0,1,2,0.0,0.5,0
A-2021-09-205,2021-09-29,02:30,CHOQUE,1,2,0,PIURA,PIURA,VEINTISEIS DE OCTUBRE,URBANA,CARRETERA,NACIONAL,PE-02,-5.178513,-80.666801,,,,,,,,,,EN PROCESO DE INVESTIGACIÓN,NO CUENTA CON CAUSA ESPECIFICA,2.0,0,2021.0,9.0,2.0,0,0,3,0,0.0,1.0,1.0,2.0,0,0,35.75,13.098982148752373,0,0,4,0.0,0.0,1
A-2021-09-233,2021-09-29,05:30,CHOQUE,1,0,3,PUNO,MOHO,MOHO,RURAL,CARRETERA,NACIONAL,PE-34I,-15.3149803,-69.5636829,DESPEJADO,RURAL,TRAMO RECTO,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,EXCESO DE VELOCIDAD,5.0,0,2021.0,9.0,2.0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,28.0,0.0,0,0,3,0.0,0.0,1
A-2021-09-222,2021-09-29,09:30,ATROPELLO,1,0,0,LIMA,LIMA,SAN JUAN DE LURIGANCHO,URBANA,AVENIDA,URBANO,NO CORRESPONDE,-11.936900367759373,-76.97113212187342,SOLEADO,RESIDENCIAL,INTERSECCIÓN,PLANA ,ASFALTADA,,,,,IMPRUDENCIA DEL CONDUCTOR,OTRO (IMPRUDENCIA DEL CONDUCTOR),9.0,0,2021.0,9.0,2.0,0,1,3,0,1.0,0.0,0.0,1.0,0,0,69.0,0.0,0,0,2,0.0,0.0,0
